iter	Passed	Remaining
734	20021	252377
735	20052	252394
736	20081	252390
737	20085	252075
738	20115	252088
739	20119	251768
740	20152	251817
741	20183	251828
742	20213	251836
743	20244	251856
744	20280	251942
745	20310	251953
746	20340	251950
747	20369	251955
748	20398	251946
749	20426	251931
750	20457	251947
751	20486	251940
752	20516	251945
753	20552	252030
754	20580	252015
755	20610	252012
756	20638	251999
757	20667	251988
758	20696	251988
759	20723	251956
760	20752	251946
761	20781	251939
762	20817	252017
763	20846	252013
764	20875	252008
765	20904	252001
766	20933	251994
767	20962	251987
768	20990	251962
769	21019	251960
770	21052	251999
771	21079	251971
772	21109	251978
773	21136	251945
774	21164	251930
775	21193	251917
776	21223	251918
777	21252	251911
778	21281	251913
779	21321	252027
780	21352	252048
781	21381	252035
782	21410	252030
783	21441	252052
784	21470	252034
785	21499	252034
786	21528	252026
787	21572	252187
788	21603	252205
789	21632	252194
790	21662	252201
791	21692	252205
792	21720	252186
793	21750	252185
794	21780	252187
795	21817	252270
796	21846	252261
797	21876	252263
798	21904	252249
799	21933	252238
800	21963	252241
801	21993	252234
802	22040	252431
803	22071	252451
804	22102	252457
805	22133	252478
806	22164	252485
807	22194	252490
808	22223	252483
809	22254	252489
810	22284	252493
811	22313	252481
812	22343	252480
813	22372	252470
814	22403	252482
815	22435	252508
816	22465	252514
817	22493	252486
818	22523	252487
819	22552	252475
820	22581	252470
821	22611	252465
822	22639	252440
823	22669	252450
824	22697	252421
825	22725	252406
826	22753	252382
827	22783	252380
828	22813	252377
829	22842	252371
830	22872	252370
831	22899	252338
832	22930	252350
833	22960	252349
834	22990	252343
835	23020	252339
836	23048	252323
837	23077	252312
838	23106	252293
839	23134	252281
840	23161	252247
841	23191	252246
842	23221	252239
843	23248	252210
844	23278	252206
845	23308	252200
846	23337	252189
847	23364	252160
848	23392	252136
849	23419	252107
850	23450	252113
851	23479	252102
852	23508	252089
853	23538	252087
854	23567	252071
855	23595	252049
856	23626	252062
857	23655	252048
858	23683	252025
859	23712	252010
860	23740	251988
861	23768	251971
862	23797	251955
863	23827	251950
864	23855	251926
865	23885	251926
866	23915	251931
867	23945	251925
868	23973	251905
869	23981	251667
870	24011	251667
871	24041	251662
872	24070	251652
873	24100	251649
